ticker,sharpe,max_dd,score
PG,0.23484962853115562,-0.3056629513088347,0.08201815287673828
VRSK,0.2821633621628329,-0.4029405887779459,0.08069306777385993
LHX,0.3645990369499086,-0.5693250599215232,0.079936506989147
TER,0.4387842888339521,-0.7274350383617139,0.07506676965309517
DVN,0.3775849930698966,-0.6104548161293167,0.07235758500523826
EFX,0.26382662912256705,-0.3833584759592076,0.07214739114296326
DHI,0.3474138528444773,-0.554830267766748,0.06999871896110327
CHTR,0.2682541804030441,-0.3996354692674018,0.06843644576934321
PFG,0.2505469230540065,-0.3654550252955816,0.0678194104062157
ZTS,0.30199147505319596,-0.4714164644437402,0.06628324283132586
CSX,0.3018089173073512,-0.4733857379911871,0.06511604831175766
SPG,0.32599217009827436,-0.5223469440326971,0.06481869808192581
DGX,0.23738884484198097,-0.35579551248815033,0.059491088597905806
FIS,0.3064377786593514,-0.49908433133956653,0.056895612989568134
SCHW,0.33990690098772225,-0.5716677294383243,0.05407303626856008
YUM,0.22386184478135338,-0.3483177734708963,0.049702958045905216
TJX,0.2660624976982433,-0.4407627127669733,0.045681141314756646
EQIX,0.27364166664375866,-0.4573682505609469,0.044957541363285225
L,0.24154506150860197,-0.39528646563019887,0.04390182869350254
KO,0.17743018912021352,-0.27397531893655613,0.040442529651935455
SBAC,0.2928868162575438,-0.5071764038926758,0.039298614311205904
EXPE,0.3274704645023566,-0.5787245825543582,0.03810817322517751
HPQ,0.2796350574747337,-0.484608997713178,0.037330558618144716
STLD,0.32281092103961406,-0.5730226586128279,0.03629959173320013
BKNG,0.2886778003162709,-0.5056546440447788,0.035850478293881494
AON,0.23616976414976382,-0.4046018653874872,0.03386883145602021
ADI,0.24279502624850288,-0.4194911028456547,0.03304947482567552
MNST,0.23222624061467154,-0.402356166204375,0.031048157512484048
VRTX,0.26841959839320123,-0.48102318661441,0.027908005085996224
IFF,0.18735740395795372,-0.32117193781748377,0.02677143504921184
GDDY,0.315714522814483,-0.5882045177879072,0.021612263920529395
DXCM,0.3032369036621587,-0.5641049875981339,0.02118440986309178
UNP,0.26160054829151225,-0.48310960890024535,0.020045743841389574
TYL,0.2837819113320976,-0.5282458280315725,0.019658997316311377
JBHT,0.2528233522562781,-0.4668548057512214,0.01939594938066741
HSY,0.22725393876078923,-0.4181560859338904,0.018175895793844016
APD,0.1562874508378259,-0.2766351429178364,0.017969879378907677
RMD,0.25811774811027954,-0.48390460281295455,0.016165446703802266
MTB,0.2828580614048926,-0.5335222722765371,0.01609692526662404
AMGN,0.19619971587621376,-0.3634863162431854,0.014456557754621069
LDOS,0.3220179494443358,-0.6204368636080757,0.011799517640297963
PRU,0.22233589357095998,-0.43193395403294954,0.00636891655448521
TECH,0.3359459295710227,-0.6633073043765902,0.004292277382727583
SYY,0.1874029504471843,-0.3663836622563683,0.004211119319000145
FDX,0.24966689317992846,-0.49402349622561237,0.0026551450671222776
ROST,0.25717309453955406,-0.5112799815125311,0.0015331037832885253
MCHP,0.2770060656392334,-0.5550525714105143,-0.0005202200660237577
GEN,0.23035214442057642,-0.4669472047634712,-0.003121457961159174
